loan_id,applicant_name,credit_score,annual_income,loan_amount,debt_to_income,employment_years,loan_type,loan_status,province,application_date,probability_of_default,loss_given_default,exposure_at_default,expected_loss,risk_weighted_assets,stressed_pd,stressed_expected_loss,additional_capital_needed
LN0000,William Dorsey,789.0,27720.0,67901,0.2,7,Mortgage,Current,AB,2020-01-01,0.07106666666666667,0.25,64505.95,1146.0557116666666,22577.082499999997,0.14568666666666666,4228.9455760499995,3082.8898643833327
LN0001,Lisa Miller,742.0,34275.0,205569,0.3,17,Auto,Current,QC,2020-01-02,0.0592,0.4,195290.55,4624.480224,146467.91249999998,0.12136,14220.2766888,9595.796464800002
LN0002,Julia Frank,655.0,26450.0,122192,0.22,3,Personal,Late (30-59 days),BC,2020-01-03,0.1484,0.65,116082.4,11197.308304,116082.4,0.30422,30017.3995688,18820.0912648
LN0003,Nancy Dominguez,585.0,32106.0,177646,0.15,4,Auto,Current,AB,2020-01-04,0.16266666666666668,0.4,168763.69999999998,10980.891413333333,126572.775,0.3334666666666667,33766.241096000005,22785.349682666674
LN0004,Katherine Knapp,719.0,20000.0,298561,0.23,2,Mortgage,Current,ON,2020-01-05,0.12933333333333336,0.25,283632.95,9170.798716666668,99271.5325,0.26513333333333333,33840.2472645,24669.448547833334
LN0005,Cheryl Randolph,689.0,39549.0,99881,0.34,5,Personal,Current,SK,2020-01-06,0.13853333333333337,0.65,94886.95,8544.253557666669,94886.95,0.2839933333333334,22905.17203728334,14360.918479616672
LN0006,Randall Greene,739.0,36333.0,247934,0.5,4,Personal,Current,BC,2020-01-07,0.14306666666666668,0.65,235537.3,21903.398651333337,235537.3,0.29328666666666664,58717.95715376666,36814.55850243333
LN0007,Linda Flores,713.0,26190.0,137659,0.34,0,Auto,Current,QC,2020-01-08,0.15560000000000002,0.4,130776.04999999999,8139.501352,98082.03749999999,0.31898,25028.9666574,16889.4653054
LN0008,Michelle James,754.0,47273.0,126688,0.33,3,Mortgage,Current,QC,2020-01-09,0.12200000000000003,0.25,120353.59999999999,3670.7848000000004,42123.759999999995,0.25010000000000004,13545.195912000001,9874.411112000002
LN0009,Linda Kim,596.0,52840.0,120584,0.18,0,Mortgage,Charged Off,SK,2020-01-10,0.18320000000000003,0.25,114554.79999999999,5246.60984,40094.17999999999,0.37556,19359.990309599998,14113.380469599997
LN0010,Cynthia Bell,781.0,20000.0,190782,0.54,0,Personal,Current,ON,2020-01-11,0.1524,0.65,181242.9,17953.921674,181242.9,0.31242,48130.320795299995,30176.399121299994
LN0011,Charles Wilkins,669.0,26766.0,227820,0.32,7,Personal,Current,ON,2020-01-12,0.13346666666666668,0.65,216429.0,18775.937180000004,216429.0,0.27360666666666666,50333.95467100001,31558.017491000002
LN0012,Kathleen Hall,850.0,26697.0,221896,0.25,1,Mortgage,Current,ON,2020-01-13,0.10466666666666667,0.25,210801.19999999998,5515.964733333333,73780.41999999998,0.21456666666666666,20353.909865999998,14837.945132666664
LN0013,Laura Allen,581.0,24935.0,296576,0.14,2,Mortgage,Current,ON,2020-01-14,0.17373333333333335,0.25,281747.2,12237.220053333334,98611.52,0.3561533333333333,45155.3419968,32918.12194346667
LN0014,Penny Pena,823.0,50604.0,184689,0.46,0,Mortgage,Current,QC,2020-01-15,0.13520000000000001,0.25,175454.55,5930.36379,61409.09249999999,0.27716,21883.0423851,15952.678595100002
LN0015,Lisa Allen,669.0,33606.0,170289,0.22,0,Personal,Late (30-59 days),SK,2020-01-16,0.15880000000000002,0.65,161774.55,16698.369051,161774.55,0.32554,44764.47395595,28066.10490495
LN0016,Chad Allen,584.0,32669.0,288028,0.17,7,Mortgage,Current,AB,2020-01-17,0.1494666666666667,0.25,273626.6,10224.513953333335,95769.30999999998,0.3064066666666667,37728.45648780001,27503.942534466674
LN0017,Nicole Brooks,601.0,20000.0,272598,0.33,3,Mortgage,Current,ON,2020-01-18,0.18320000000000003,0.25,258968.09999999998,11860.73898,90638.83499999999,0.37556,43766.1268362,31905.387856199995
LN0018,Bruce Davila,617.0,46824.0,79960,0.33,10,Mortgage,Current,QC,2020-01-19,0.13946666666666668,0.25,75962.0,2648.5417333333335,26586.699999999997,0.2859066666666667,9773.118996000001,7124.577262666668
